Timestamp,Email Address,Full Name,"Time Slot Availability: First Preference. Please choose one

Note: Choosing a time slot on this form does not necessarily guarantee you that time slot, as all slots are first-come, first-served! You will receive a confirmation calendar invite with details shortly after signing up.",First Preference Flexibility How flexible are you within your selected primary hour block?,"Time Slot Availability: Second Preference. Please choose one

Note: Choosing a time slot on this form does not necessarily guarantee you that time slot, as all slots are first-come, first-served! You will receive a confirmation calendar invite with details shortly after signing up.",Second Preference Flexibility How flexible are you within your selected primary hour block?,Swim Comfort & Lane Placement,Are you racing with a buddy or group?,Is this your first triathlon?,"If you’d like to be added to your Super Sprint Ping Group and included on the leaderboard, opt in below.",How did you hear about this event?,Is this your first GFit event?,"Would you like to volunteer at the event? 

If yes, an event led with contact you directly with details. ","Any comments, questions, or accessibility needs?",Portal URL
6/5/2026 20:33:24,test.participant@example.com,Jane Doe,10:00AM-11:00AM,No preference — any 15-minute wave in this hour is fine!,11:00AM-12:00PM,Start exactly at :00,Intermediate (Comfortable swimming at a steady pace for 5 minutes),"Group, Friend Name",Yes,Yes,Coach or Onsite Class,No,No,Test 5 This is a automated test submission to verify form functionality.,/portal/row-2?event=super-sprint-registration-2026-test
6/6/2026 14:33:58,Testtest@gmail.com,Jordan Hunt,9:00AM-10:00AM,Start exactly at :00,9:00AM-10:00AM,Start exactly at :15,Novice (plans to water-walk / swim slowly),Solo,Yes,"Chat Group, Leaderboard",Email,Yes,No,,/portal/row-3?event=super-sprint-registration-2026-test
6/5/2026 20:33:24,test.participant001@example.com,Jane Doe,10:00AM-11:00AM,Start exactly at :00,11:00AM-12:00PM,Start exactly at :00,Intermediate (Comfortable swimming at a steady pace for 5 minutes),"Group, Friend Name",Yes,Yes,Coach or Onsite Class,No,No,Stress A-01 exact 10:00,/portal/row-200?event=super-sprint-registration-2026-test
6/5/2026 20:33:39,test.participant002@example.com,Alex Rivera,10:00AM-11:00AM,Start exactly at :00,11:00AM-12:00PM,Start exactly at :00,"Novice (Can swim short distances, needs breaks)",Single,No,Yes,Coach or Onsite Class,No,Yes,Stress A-02 exact 10:00,/portal/row-201?event=super-sprint-registration-2026-test
6/5/2026 20:33:54,test.participant003@example.com,Morgan Lee,10:00AM-11:00AM,Start exactly at :00,11:00AM-12:00PM,Start exactly at :15,Advanced (Strong continuous swimming pace),"Buddy, Chris Lee",No,Yes,Coach or Onsite Class,Yes,No,Stress A-03 exact 10:00,/portal/row-202?event=super-sprint-registration-2026-test
6/5/2026 20:34:09,test.participant004@example.com,Taylor Brooks,10:00AM-11:00AM,Start exactly at :00,9:00AM-10:00AM,Start exactly at :45,Intermediate (Comfortable swimming at a steady pace for 5 minutes),Single,Yes,Yes,Coach or Onsite Class,No,No,Stress A-04 exact 10:00,/portal/row-203?event=super-sprint-registration-2026-test
6/5/2026 20:34:24,test.participant005@example.com,Jordan Kim,10:00AM-11:00AM,Start exactly at :00,12:00PM-1:00PM,Start exactly at :00,Intermediate (Comfortable swimming at a steady pace for 5 minutes),"Group, Pat Kim",No,Yes,Coach or Onsite Class,No,No,Stress A-05 exact 10:00,/portal/row-204?event=super-sprint-registration-2026-test
6/5/2026 20:34:39,test.participant006@example.com,Casey Patel,10:00AM-11:00AM,Start exactly at :00,11:00AM-12:00PM,Start exactly at :30,"Novice (Can swim short distances, needs breaks)",Single,No,Yes,Coach or Onsite Class,Yes,Yes,Stress A-06 exact 10:00,/portal/row-205?event=super-sprint-registration-2026-test
6/5/2026 20:34:54,test.participant007@example.com,Riley Green,10:00AM-11:00AM,Start exactly at :00,11:00AM-12:00PM,Start exactly at :15,Advanced (Strong continuous swimming pace),"Buddy, Sam Green",Yes,Yes,Coach or Onsite Class,No,No,Stress A-07 exact 10:00,/portal/row-206?event=super-sprint-registration-2026-test
6/5/2026 20:35:09,test.participant008@example.com,Drew Carter,10:00AM-11:00AM,Start exactly at :00,8:00AM-9:00AM,Start exactly at :30,Intermediate (Comfortable swimming at a steady pace for 5 minutes),Single,No,Yes,Coach or Onsite Class,No,No,Stress A-08 exact 10:00,/portal/row-207?event=super-sprint-registration-2026-test
